1:0:d=2016010100:UGRD:planetary boundary layer:48 hour fcst:
2:180556:d=2016010100:VGRD:planetary boundary layer:48 hour fcst:
3:359112:d=2016010100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:48 hour fcst:
4:447804:d=2016010100:GUST:surface:48 hour fcst:
234:44640685:d=2016010100:RH:2 m above ground:48 hour fcst:
235:44865543:d=2016010100:var discipline=0 master_table=2 parmcat=0 parm=21:2 m above ground:48 hour fcst:
236:45039064:d=2016010100:TMAX:2 m above ground:42-48 hour max fcst:
237:45297127:d=2016010100:TMIN:2 m above ground:42-48 hour min fcst:
238:45559590:d=2016010100:UGRD:10 m above ground:48 hour fcst:
239:45826883:d=2016010100:VGRD:10 m above ground:48 hour fcst:
240:46089093:d=2016010100:CPOFP:surface:48 hour fcst:
241:46245658:d=2016010100:CPRAT:surface:42-48 hour ave fcst:
242:46359415:d=2016010100:PRATE:surface:42-48 hour ave fcst:
243:46520954:d=2016010100:APCP:surface:42-48 hour acc fcst:
244:46632833:d=2016010100:ACPCP:surface:42-48 hour acc fcst:
245:46765448:d=2016010100:WATR:surface:42-48 hour acc fcst:
246:46846443:d=2016010100:CSNOW:surface:42-48 hour ave fcst:
247:46860326:d=2016010100:CICEP:surface:42-48 hour ave fcst:
248:46860726:d=2016010100:CFRZR:surface:42-48 hour ave fcst:
249:46861626:d=2016010100:CRAIN:surface:42-48 hour ave fcst:
250:46886813:d=2016010100:LHTFL:surface:42-48 hour ave fcst:
251:47163099:d=2016010100:SHTFL:surface:42-48 hour ave fcst:
252:47437399:d=2016010100:GFLUX:surface:42-48 hour ave fcst:
253:47575549:d=2016010100:UFLX:surface:42-48 hour ave fcst:
254:47773466:d=2016010100:VFLX:surface:42-48 hour ave fcst:
255:47964817:d=2016010100:U-GWD:surface:42-48 hour ave fcst:
256:48070733:d=2016010100:V-GWD:surface:42-48 hour ave fcst:
257:48173767:d=2016010100:WILT:surface:48 hour fcst:
258:48268787:d=2016010100:FLDCP:surface:48 hour fcst:
259:48366530:d=2016010100:SUNSD:surface:48 hour fcst:
260:48522574:d=2016010100:LFTX:surface:48 hour fcst:
261:48677165:d=2016010100:CAPE:surface:48 hour fcst:
262:48828419:d=2016010100:CIN:surface:48 hour fcst:
