1:0:d=2015012800:PRMSL:mean sea level:48 hour fcst:
2:1536377:d=2015012800:PRES:1 hybrid level:48 hour fcst:
3:1853650:d=2015012800:HGT:1 hybrid level:48 hour fcst:
4:2818039:d=2015012800:TMP:1 hybrid level:48 hour fcst:
5:3771342:d=2015012800:RH:1 hybrid level:48 hour fcst:
6:5253796:d=2015012800:DPT:1 hybrid level:48 hour fcst:
7:6859422:d=2015012800:SPFH:1 hybrid level:48 hour fcst:
8:7432021:d=2015012800:UGRD:1 hybrid level:48 hour fcst:
9:8603661:d=2015012800:VGRD:1 hybrid level:48 hour fcst:
10:9742798:d=2015012800:PRES:2 hybrid level:48 hour fcst:
11:10064214:d=2015012800:HGT:2 hybrid level:48 hour fcst:
12:11094891:d=2015012800:TMP:2 hybrid level:48 hour fcst:
13:12018575:d=2015012800:DPT:2 hybrid level:48 hour fcst:
14:13598875:d=2015012800:SPFH:2 hybrid level:48 hour fcst:
15:14144158:d=2015012800:UGRD:2 hybrid level:48 hour fcst:
16:15324695:d=2015012800:VGRD:2 hybrid level:48 hour fcst:
17:16472999:d=2015012800:REFC:entire atmosphere (considered as a single layer):48 hour fcst:
18:17133645:d=2015012800:VIS:surface:48 hour fcst:
19:17239804:d=2015012800:VIS:surface:48 hour fcst:
20:17850726:d=2015012800:GUST:surface:48 hour fcst:
124:119503417:d=2015012800:DPT:600 mb:48 hour fcst:
125:120580001:d=2015012800:SPFH:600 mb:48 hour fcst:
126:121786688:d=2015012800:VVEL:600 mb:48 hour fcst:
127:122839840:d=2015012800:UGRD:600 mb:48 hour fcst:
128:123751962:d=2015012800:VGRD:600 mb:48 hour fcst:
129:124664376:d=2015012800:ABSV:600 mb:48 hour fcst:
130:125414628:d=2015012800:HGT:650 mb:48 hour fcst:
131:126775828:d=2015012800:TMP:650 mb:48 hour fcst:
132:127561883:d=2015012800:RH:650 mb:48 hour fcst:
133:128914893:d=2015012800:DPT:650 mb:48 hour fcst:
134:130031045:d=2015012800:SPFH:650 mb:48 hour fcst:
135:130824826:d=2015012800:VVEL:650 mb:48 hour fcst:
136:131919946:d=2015012800:UGRD:650 mb:48 hour fcst:
137:132882672:d=2015012800:VGRD:650 mb:48 hour fcst:
138:133850874:d=2015012800:ABSV:650 mb:48 hour fcst:
139:134651595:d=2015012800:HGT:700 mb:48 hour fcst:
140:135979314:d=2015012800:TMP:700 mb:48 hour fcst:
141:136843964:d=2015012800:RH:700 mb:48 hour fcst:
142:138272887:d=2015012800:DPT:700 mb:48 hour fcst:
143:139430168:d=2015012800:SPFH:700 mb:48 hour fcst:
144:140307839:d=2015012800:VVEL:700 mb:48 hour fcst:
145:141441796:d=2015012800:UGRD:700 mb:48 hour fcst:
146:142467704:d=2015012800:VGRD:700 mb:48 hour fcst:
147:143496657:d=2015012800:ABSV:700 mb:48 hour fcst:
148:144348723:d=2015012800:HGT:750 mb:48 hour fcst:
149:145605168:d=2015012800:TMP:750 mb:48 hour fcst:
150:146457995:d=2015012800:RH:750 mb:48 hour fcst:
151:147935378:d=2015012800:DPT:750 mb:48 hour fcst:
152:149079672:d=2015012800:SPFH:750 mb:48 hour fcst:
153:150016630:d=2015012800:VVEL:750 mb:48 hour fcst:
154:151175369:d=2015012800:UGRD:750 mb:48 hour fcst:
155:152199274:d=2015012800:VGRD:750 mb:48 hour fcst:
156:153236032:d=2015012800:ABSV:750 mb:48 hour fcst:
157:154098092:d=2015012800:HGT:775 mb:48 hour fcst:
158:155355721:d=2015012800:TMP:775 mb:48 hour fcst:
159:156217654:d=2015012800:RH:775 mb:48 hour fcst:
160:157700918:d=2015012800:DPT:775 mb:48 hour fcst:
161:158832615:d=2015012800:SPFH:775 mb:48 hour fcst:
162:159793563:d=2015012800:VVEL:775 mb:48 hour fcst:
163:160973631:d=2015012800:UGRD:775 mb:48 hour fcst:
164:162011088:d=2015012800:VGRD:775 mb:48 hour fcst:
